14/08/07 16:09:48 WARN mapred.JobClient: Use GenericOptionsParser for parsing the arguments. Applications should implement Tool for the same.
14/08/07 16:09:48 INFO input.FileInputFormat: Total input paths to process : 2
14/08/07 16:09:48 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/08/07 16:09:48 WARN snappy.LoadSnappy: Snappy native library is available
14/08/07 16:09:48 INFO snappy.LoadSnappy: Snappy native library loaded
14/08/07 16:09:48 INFO mapred.JobClient: Running job: job_201408041736_0010
14/08/07 16:18:36 INFO mapred.JobClient:  map 100% reduce 90%
14/08/07 16:18:39 INFO mapred.JobClient:  map 100% reduce 91%
14/08/07 16:18:42 INFO mapred.JobClient:  map 100% reduce 92%
14/08/07 16:18:45 INFO mapred.JobClient:  map 100% reduce 93%
14/08/07 16:18:48 INFO mapred.JobClient:  map 100% reduce 94%
14/08/07 16:18:51 INFO mapred.JobClient:  map 100% reduce 95%
14/08/07 16:18:54 INFO mapred.JobClient:  map 100% reduce 96%
14/08/07 16:19:00 INFO mapred.JobClient:  map 100% reduce 97%
14/08/07 16:19:03 INFO mapred.JobClient:  map 100% reduce 98%
14/08/07 16:19:06 INFO mapred.JobClient:  map 100% reduce 99%
14/08/07 16:19:08 INFO mapred.JobClient:  map 100% reduce 100%
14/08/07 16:19:09 INFO mapred.JobClient: Job complete: job_201408041736_0010
14/08/07 16:19:09 INFO mapred.JobClient: Counters: 32
14/08/07 16:19:09 INFO mapred.JobClient:   File System Counters
14/08/07 16:19:09 INFO mapred.JobClient:     FILE: Number of bytes read=2178284274
14/08/07 16:19:09 INFO mapred.JobClient:     FILE: Number of bytes written=3269279736
14/08/07 16:19:09 INFO mapred.JobClient:     FILE: Number of read operations=0
14/08/07 16:19:09 INFO mapred.JobClient:     FILE: Number of large read operations=0
14/08/07 16:19:09 INFO mapred.JobClient:     FILE: Number of write operations=0
14/08/07 16:19:09 INFO mapred.JobClient:     HDFS: Number of bytes read=3952842178
14/08/07 16:19:09 INFO mapred.JobClient:     HDFS: Number of bytes written=875810439
14/08/07 16:19:09 INFO mapred.JobClient:     HDFS: Number of read operations=60
14/08/07 16:19:09 INFO mapred.JobClient:     HDFS: Number of large read operations=0
14/08/07 16:19:09 INFO mapred.JobClient:     HDFS: Number of write operations=1
14/08/07 16:19:09 INFO mapred.JobClient:   Job Counters 
14/08/07 16:19:09 INFO mapred.JobClient:     Launched map tasks=30
14/08/07 16:19:09 INFO mapred.JobClient:     Launched reduce tasks=1
14/08/07 16:19:09 INFO mapred.JobClient:     Data-local map tasks=30
14/08/07 16:19:09 INFO mapred.JobClient:     Total time spent by all maps in occupied slots (ms)=885226
14/08/07 16:19:09 INFO mapred.JobClient:     Total time spent by all reduces in occupied slots (ms)=169220
14/08/07 16:19:09 INFO mapred.JobClient:     Total time spent by all maps waiting after reserving slots (ms)=0
14/08/07 16:19:09 INFO mapred.JobClient:     Total time spent by all reduces waiting after reserving slots (ms)=0
14/08/07 16:19:09 INFO mapred.JobClient:   Map-Reduce Framework
14/08/07 16:19:09 INFO mapred.JobClient:     Map input records=100000000
14/08/07 16:19:09 INFO mapred.JobClient:     Map output records=100000000
14/08/07 16:19:09 INFO mapred.JobClient:     Map output bytes=4329173227
14/08/07 16:19:09 INFO mapred.JobClient:     Input split bytes=7255
14/08/07 16:19:09 INFO mapred.JobClient:     Combine input records=0
14/08/07 16:19:09 INFO mapred.JobClient:     Combine output records=0
14/08/07 16:19:09 INFO mapred.JobClient:     Reduce input groups=50000000
14/08/07 16:19:09 INFO mapred.JobClient:     Reduce shuffle bytes=1089130918
14/08/07 16:19:09 INFO mapred.JobClient:     Reduce input records=100000000
14/08/07 16:19:09 INFO mapred.JobClient:     Reduce output records=14955856
14/08/07 16:19:09 INFO mapred.JobClient:     Spilled Records=300000000
14/08/07 16:19:09 INFO mapred.JobClient:     CPU time spent (ms)=758950
14/08/07 16:19:09 INFO mapred.JobClient:     Physical memory (bytes) snapshot=9332740096
14/08/07 16:19:09 INFO mapred.JobClient:     Virtual memory (bytes) snapshot=36215017472
14/08/07 16:19:09 INFO mapred.JobClient:     Total committed heap usage (bytes)=7944667136

real 9m23.491s
user 0m3.544s
sys 0m0.808s
